pid,frame,is_ed,z_idx,dice_BG,dice_RV,dice_MYO,dice_LV,macro_dice
A1K2P5,ed,True,0,0.9999728725278735,,,,
A1K2P5,ed,True,1,0.9999999999998644,,,,
A1K2P5,ed,True,2,0.997498096377543,,,,
A1K2P5,ed,True,3,0.9613599787501819,0.638583054091339,0.3790905227353205,0.7177722152668405,0.5784819306978334
A1K2P5,ed,True,4,0.9835345042868587,0.8779342722989975,0.5957309184974265,0.9203386151488597,0.7980012686484278
A1K2P5,ed,True,5,0.9869758680046467,0.8837304011384978,0.5915151515127616,0.9038623005858442,0.7930359510790345
A1K2P5,ed,True,6,0.9862260724214491,0.880239520955688,0.6779661016924704,0.9486369024082406,0.8356141750187996
A1K2P5,ed,True,7,0.9946176688936844,0.9124999999964356,0.677504393670134,0.8890462700640013,0.8263502212435236
A1K2P5,ed,True,8,0.9909936955867621,0.7137425312291487,0.48256880733723595,0.7470035633276741,0.6477716339646863
A1K2P5,ed,True,9,0.9904761904760458,0.593607305930652,0.5155350978106126,0.7967145790521696,0.6352856609311447
A1K2P5,ed,True,10,0.981199036714552,0.0,0.0,0.7784503631914138,0.25948345439713794
A1K2P5,ed,True,11,0.9905577514271807,,0.015113350125563895,0.295503211985107,0.15530828105533545
A1K2P5,ed,True,12,0.9999999999998644,,,,
A1K2P5,ed,True,13,0.9999999999998644,,,,
A1K2P5,es,False,0,0.9991311902691954,,,,
A1K2P5,es,False,1,0.9999999999998644,,,,
A1K2P5,es,False,2,0.9999999999998644,,,,
A1K2P5,es,False,3,0.9937628802662727,,,,
A1K2P5,es,False,4,0.9739298358543729,0.7122736418490593,0.6295743091836088,0.8872633390667501,0.7430370966998061
A1K2P5,es,False,5,0.9874501652108981,0.8426966292112288,0.8032128514033184,0.8672219500202488,0.8377104768782654
A1K2P5,es,False,6,0.9843839830941492,0.7992733878268263,0.7678173719355016,0.9079159935342976,0.8250022510988752
A1K2P5,es,False,7,0.993751886507547,0.8192898781090658,0.8283847980973029,0.9064618165345393,0.8513788309136361
A1K2P5,es,False,8,0.9913790584176932,0.6052910052846001,0.7317073170705463,0.787411689140736,0.7081366704986275
A1K2P5,es,False,9,0.9863607393242708,0.0,0.5105920695246573,0.7595459236247725,0.42337933104980996
