pid,frame,is_ed,z_idx,dice_BG,dice_RV,dice_MYO,dice_LV,macro_dice
A1K2P5,ed,True,0,0.9999999999998644,,,,
A1K2P5,ed,True,1,0.9999999999998644,,,,
A1K2P5,ed,True,2,0.9924703117098279,,,,
A1K2P5,ed,True,3,0.9908082823589365,0.9465186680105171,0.839534009767608,0.9630560442297988,0.9163695740026413
A1K2P5,ed,True,4,0.9869284302488105,0.8974795640311691,0.7783522923103124,0.9452401010932072,0.8736906524782295
A1K2P5,ed,True,5,0.9903915524363825,0.9359832635963683,0.794015309670167,0.9606763664943754,0.8968916465869702
A1K2P5,ed,True,6,0.9839380745039537,0.8777867311284507,0.6931308249889778,0.9642997253806115,0.8450724271660134
A1K2P5,ed,True,7,0.9909410936398356,0.9138247158015629,0.7705047318581605,0.9573626373605333,0.8805640283400855
A1K2P5,ed,True,8,0.9903226791218686,0.8540387340535945,0.7357774968363432,0.9479054779781206,0.8459072362893528
A1K2P5,ed,True,9,0.9938526714955053,0.8908839778944,0.7822497419980277,0.9459936463079915,0.8730424554001397
A1K2P5,ed,True,10,0.9905773712166929,0.7813688212853482,0.6522811343979514,0.9455470737865367,0.7930656764899454
A1K2P5,ed,True,11,0.9897259315247349,,0.5482980680722328,0.9149700598692818,0.7316340639707573
A1K2P5,ed,True,12,0.9999999999998644,,,,
A1K2P5,ed,True,13,0.9999999999998644,,,,
A1K2P5,es,False,0,0.9999999999998644,,,,
A1K2P5,es,False,1,0.9999999999998644,,,,
A1K2P5,es,False,2,0.999171949448057,,,,
A1K2P5,es,False,3,0.9999728725278735,,,,
A1K2P5,es,False,4,0.9927648501074002,0.8932862190781157,0.808108108104468,0.9176149294450724,0.873003085542552
A1K2P5,es,False,5,0.9921545522201389,0.9168187744435025,0.8603954463724973,0.9033511413263557,0.8935217873807852
A1K2P5,es,False,6,0.9886598098073272,0.8481129180704262,0.8690607734782623,0.9497487437146158,0.8889741450877681
A1K2P5,es,False,7,0.9908477256140552,0.8816542014919417,0.8163500287829121,0.9043083900185747,0.8674375400978095
A1K2P5,es,False,8,0.9920187514833563,0.8057142857085307,0.8192177394492787,0.8738792588112739,0.8329370946563611
A1K2P5,es,False,9,0.9943838879663619,0.7469879517982291,0.8717948717915355,0.896078431363764,0.8382870849845094
A1K2P5,es,False,10,0.9943478815178567,0.4318181818018251,0.8464912280664628,0.8697123519311385,0.716007253933142
A1K2P5,es,False,11,0.9903106971570181,,0.7101123595452427,0.8872180450460738,0.7986652022956582
A1K2P5,es,False,12,0.9999999999998644,,,,
A1K2P5,es,False,13,0.9999999999998644,,,,
A2H5K9,ed,True,0,0.9999999999998644,,,,
A2H5K9,ed,True,1,0.99338996399626,,0.8083961248610959,0.9258649093751917,0.8671305171181438
A2H5K9,ed,True,2,0.9939861400474321,0.9199999999936552,0.8240705251022459,0.9538152610393885,0.8992952620450966
A2H5K9,ed,True,3,0.991962553505837,0.9493927125474042,0.7939189189162368,0.9468159552101232,0.8967091955579214
A2H5K9,ed,True,4,0.9936554729554933,0.9407940561854172,0.8214055448071522,0.9218549833437821,0.8946848614454505
A2H5K9,ed,True,5,0.9916891959545757,0.9447035309777737,0.8542772861331732,0.9519492293722758,0.9169766821610743
A2H5K9,ed,True,6,0.9854386540685428,0.9567723342926948,0.7933609958484278,0.9659834278217052,0.905372252654276
A2H5K9,ed,True,7,0.9913720832749422,0.9579852579840811,0.8750311798431654,0.9530418690701988,0.9286861022991485
A2H5K9,ed,True,8,0.9830215169619971,0.8636259454483988,0.7705162637995508,0.9415966386534841,0.8585796159671446
A2H5K9,ed,True,9,0.9952294544601682,,0.7773512475970377,0.9050785973370463,0.841214922467042
A2H5K9,es,False,0,0.9999999999998644,,,,
A2H5K9,es,False,1,0.9966550503140619,,0.8950373298160078,,0.8950373298160078
A2H5K9,es,False,2,0.9926239663467035,0.32835820894705575,0.8559440559416617,0.6172106824742667,0.6005043157876614
A2H5K9,es,False,3,0.9894652382578284,0.7034383954104338,0.8507166482891936,0.7580645161137487,0.7707398532711253
A2H5K9,es,False,4,0.9909975558286666,0.8388725283936102,0.9211706900215314,0.9136420525542723,0.8912284236564713
A2H5K9,es,False,5,0.9871193647219116,0.8020803236035768,0.8435831520647744,0.7738287560519077,0.8064974105734196
A2H5K9,es,False,6,0.9920207367153867,0.8713910761129443,0.8825165846332496,0.905993690846019,0.8866337838640709
A2H5K9,es,False,7,0.9937314223489517,,0.8259836281995617,0.8825012607116365,0.8542424444555992
A2H5K9,es,False,8,0.9888500308577126,,,,
A2H5K9,es,False,9,0.9999999999998644,,,,
A2L1N6,ed,True,0,0.9999999999998644,,,,
A2L1N6,ed,True,1,0.9999999999998644,,,,
A2L1N6,ed,True,2,0.999171949448057,,,,
A2L1N6,ed,True,3,0.9950222687973401,0.8356234096649587,0.8618181818129588,0.9637526652383529,0.8870647522387568
A2L1N6,ed,True,4,0.9897157051329099,0.8736105393129946,0.7369921596552496,0.927935222668308,0.846179307212184
A2L1N6,ed,True,5,0.9944540065020409,0.9295352323810209,0.8781171196388957,0.9484789008808919,0.9187104176336028
A2L1N6,ed,True,6,0.9886241752525452,0.9194366197157199,0.6948979591819008,0.9030482641809843,0.8391276143595349
A2L1N6,ed,True,7,0.9880852949697466,0.9009009008990974,0.8177884615364958,0.9600406366390789,0.8929099996915574
A2L1N6,ed,True,8,0.9898580823812756,0.9300889776631014,0.8755524540570468,0.9609247802003241,0.9221887373068242
A2L1N6,ed,True,9,0.9874200794883381,0.9469310670425931,0.7690470503922402,0.9441656210775656,0.886714579504133
A2L1N6,ed,True,10,0.9838308457709913,,0.5136718749983279,0.8557449494935989,0.6847084122459635
A2L1N6,ed,True,11,0.9999999999998644,,,,
A2L1N6,es,False,0,0.9999999999998644,,,,
A2L1N6,es,False,1,0.9999999999998644,,,,
A2L1N6,es,False,2,0.9999999999998644,,,,
A2L1N6,es,False,3,0.9923303009095883,,0.6236162361585263,0.6704331449967903,0.6470246905776583
A2L1N6,es,False,4,0.9898930284026574,0.7860048820115053,0.6654233494939745,0.8556045031774078,0.7690109115609625
A2L1N6,es,False,5,0.9902491874321327,0.8823045267453403,0.7957824639267598,0.9066147859892781,0.861567258887126
A2L1N6,es,False,6,0.991589464697728,0.8998968008224978,0.7986239745943408,0.9218585005255495,0.8734597586474626
A2L1N6,es,False,7,0.9919115354955634,0.9265446831054719,0.815680545408289,0.9422331087957905,0.8948194457698504
A2L1N6,es,False,8,0.9871052931873259,0.882959369312059,0.783732057414393,0.9207254941900943,0.8624723069721821
A2L1N6,es,False,9,0.9931530660055028,,0.7740784780000771,0.9259347463659778,0.8500066121830274
A2L1N6,es,False,10,0.9999999999998644,,,,
A2L1N6,es,False,11,0.9999999999998644,,,,
A3H5R1,ed,True,0,0.9999999999998644,,,,
A3H5R1,ed,True,1,0.9999999999998644,,,,
A3H5R1,ed,True,2,0.9854778598048028,,0.5883244882442129,0.7283431454973577,0.6583338168707853
A3H5R1,ed,True,3,0.9902240325864029,0.8860270444282334,0.8031693077531145,0.9172826469520687,0.8688263330444723
