pid,frame,is_ed,z_idx,dice_BG,dice_RV,dice_MYO,dice_LV,macro_dice
201,ed,True,0,0.9999999999998644,,,,
201,ed,True,1,0.9985194039580817,,,,
201,ed,True,2,0.989112252384301,,0.7401185770714421,0.8666291502507973,0.8033738636611197
201,ed,True,3,0.9906460296095239,0.9360548101613816,0.780065005414301,0.9248836693974631,0.8803344949910485
201,ed,True,4,0.9911140805076013,0.9430267062300549,0.831813206855776,0.9559058715993697,0.9102485948950668
201,ed,True,5,0.9929446591561562,0.9138435081669581,0.8196277495742145,0.9607512641440868,0.8980741739617532
201,ed,True,6,0.9918224673698823,0.9253968253949894,0.7990334273024606,0.9340974212010053,0.886175891299485
201,ed,True,7,0.9950036577581841,0.9329090426917717,0.8063063063026743,0.9409742120316877,0.8933965203420445
201,ed,True,8,0.9928252860188552,0.829715388322095,0.7113140537761984,0.9141127506586678,0.8183807309189871
201,ed,True,9,0.9949911735578463,0.7161961366906955,0.6047678795445122,0.8374439461836467,0.7194693208062848
201,ed,True,10,0.9917834164274585,,0.31847133757672,0.7995139732588151,0.5589926554177675
201,ed,True,11,0.9971708378671114,,,,
201,es,False,0,0.9999999999998644,,,,
201,es,False,1,0.9983016996588457,,,,
201,es,False,2,0.9999999999998644,,,,
201,es,False,3,0.9789478125130463,,0.6330645161247779,0.11317418213869873,0.3731193491317383
201,es,False,4,0.991103569672689,0.9270790659546763,0.8734253149343929,0.9441500203793554,0.9148848004228082
201,es,False,5,0.9953684078311597,0.9505433577268784,0.8810126582250601,0.9551986475023027,0.9289182211514136
201,es,False,6,0.9933596886773437,0.9263217097836718,0.889561270799124,0.952155376594258,0.9226794523923512
201,es,False,7,0.9947526236880069,0.8812523864036608,0.8301574150752686,0.9253132832033819,0.8789076948941038
201,es,False,8,0.995185855167037,0.8969298245564862,0.8064516128991611,0.8819241982443009,0.861768545233316
201,es,False,9,0.9958254590583314,0.46321525884296416,0.7198679141402319,0.8213166144071894,0.6681332624634618
201,es,False,10,0.9945477958298865,,0.45479452054171515,,0.45479452054171515
201,es,False,11,0.9992670412898718,,,,
202,ed,True,0,0.9980839006888448,,,,
202,ed,True,1,0.9908539748890484,,0.7222222222185747,0.9325868905973115,0.8274045564079431
202,ed,True,2,0.9906823880190773,0.9399079930981312,0.8753417167827355,0.9525208027387359,0.9225901708732008
202,ed,True,3,0.9883251164062948,0.935000687095046,0.8607198748021369,0.9621518686004233,0.9192908101658688
202,ed,True,4,0.9914765100669478,0.9531008947840897,0.8290451686654402,0.9363548698145219,0.9061669777546838
202,ed,True,5,0.9914546704644287,0.929618768326742,0.8371539148531195,0.9453880323988885,0.9040535718595833
202,ed,True,6,0.9927809809650119,0.9071751128928571,0.7932354818098493,0.8882833787439047,0.8628979911488703
202,ed,True,7,0.9910036290444039,0.8394186458672832,0.8393742846209867,0.9349112426000928,0.8712347243627877
202,ed,True,8,0.9938172793090342,0.8122605363940216,0.8004062976089366,0.878738444802182,0.83046842626838
202,ed,True,9,0.9932203869614888,0.7421874999903361,0.6676737160070418,0.8199389623517809,0.7432667261163863
202,ed,True,10,0.9961635426941527,,0.359633027516337,,0.359633027516337
202,es,False,0,0.9999999999998644,,,,
202,es,False,1,0.9999999999998644,,,,
202,es,False,2,0.9943105708152457,,0.7824909747257108,0.9160671462785801,0.8492790605021454
202,es,False,3,0.9851466532964113,0.8059159314976494,0.8641470888639833,0.8894095595084845,0.8531575266233724
202,es,False,4,0.9918502097253645,0.8942172073321716,0.9109773811975286,0.9426816786031593,0.9159587557109532
202,es,False,5,0.9938238537890353,0.9215922798530239,0.8836320191137786,0.9180497925263588,0.9077580304977205
202,es,False,6,0.9927823834989361,0.9243306169938175,0.815774323543996,0.8584240871181396,0.8661763425519844
202,es,False,7,0.9885831381731575,0.516545601287195,0.8005275304952175,0.8749999999922976,0.7306910439249034
202,es,False,8,0.9911896761075042,0.1348314606665825,0.757929883135401,0.7499999999771342,0.5475871145930392
202,es,False,9,0.9881770690127869,,0.2606924643531427,,0.2606924643531427
202,es,False,10,0.9999999999998644,,,,
203,ed,True,0,0.9986962190350664,,,,
203,ed,True,1,0.9863844594485169,0.8722201281551598,0.7413640389692588,0.9530583214766627,0.8555474962003604
203,ed,True,2,0.9936010846738549,0.9410990457371815,0.830515463914101,0.9709228824252615,0.9141791306921814
203,ed,True,3,0.9943235415803071,0.948663101602587,0.8374999999967285,0.9662965127586863,0.9174865381193339
203,ed,True,4,0.994795928386575,0.9354718388643501,0.8049001814845513,0.9659810126563173,0.9021176776684063
203,ed,True,5,0.9955614947738597,0.9506320057215583,0.8239401496218258,0.9655320059923667,0.9133680537785835
203,ed,True,6,0.9960930232556595,0.9364835839185748,0.8312119535095119,0.9745314752499411,0.9140756708926759
203,ed,True,7,0.9960955098361622,0.9159049360104392,0.8351776354057358,0.957624497367901,0.9029023562613587
203,ed,True,8,0.9962992525940069,0.8479685452106949,0.7162654996300784,0.9210799584583538,0.828438001099709
203,ed,True,9,0.9955859199278853,0.6790352504512238,0.6900826446209702,0.9179723502219542,0.7623634150980494
203,ed,True,10,0.9999999999998644,,,,
203,es,False,0,0.99843777593618,,,,
203,es,False,1,0.9999999999998644,,,,
203,es,False,2,0.9864031439142614,,0.6317867719582252,0.9154228855683441,0.7736048287632846
203,es,False,3,0.9939680699388983,0.9127920425609235,0.9021334236339243,0.9569523809487355,0.9239592823811944
203,es,False,4,0.9932227376364505,0.9218863361525469,0.872834259559095,0.9615515481423561,0.918757381284666
203,es,False,5,0.9956023269089767,0.9323260937962471,0.906806282719348,0.9676971170511717,0.9356098311889222
203,es,False,6,0.9946600321610191,0.87469879517721,0.8604982206375071,0.9298804780839447,0.8883591646328872
203,es,False,7,0.9964412811386429,0.8796007485908947,0.8780487804840478,0.9308176100583899,0.8961557130444441
203,es,False,8,0.9963396150875067,0.85430463575216,0.8344791115767611,0.9325276938476079,0.8737704803921763
203,es,False,9,0.9966606160538464,,0.7384882710622199,0.8529411764496828,0.7957147237559514
203,es,False,10,0.9999999999998644,,,,
204,ed,True,0,0.9999999999998644,,,,
204,ed,True,1,0.9815537267947971,,0.6436998584207471,0.7648351648330637,0.7042675116269054
204,ed,True,2,0.9815334716722791,0.8880042462833228,0.803191489359032,0.9470618468375072,0.879419194159954
